pcon,leftright,lower,upper,libauth,lower,upper,ons_id,pctright,pctauth
Erith and Thamesmead,0.251069767,0.219403249,0.285068181,0.299405957,0.261832026,0.332167199,E14000696,25.10697671,70.05940427
Esher and Walton,0.286381665,0.252368861,0.319957415,0.356068324,0.317592562,0.393085557,E14000697,28.6381665,64.39316764
Exeter,0.264903246,0.233650844,0.30611478,0.401173076,0.364295622,0.432659203,E14000698,26.49032462,59.88269242
Falkirk,0.223180578,0.193047212,0.259321207,0.33865972,0.293121054,0.372128536,S14000028,22.31805785,66.134028
Fareham,0.297072384,0.269306247,0.324220956,0.321946823,0.280974632,0.354999334,E14000699,29.70723841,67.80531774
Faversham and Mid Kent,0.284452188,0.255722208,0.317110583,0.311288269,0.273954785,0.343815547,E14000700,28.44521883,68.87117314
Feltham and Heston,0.238083077,0.198623682,0.267502972,0.301211358,0.267954403,0.34954798,E14000701,23.80830774,69.87886423
Filton and Bradley Stoke,0.275964684,0.247290309,0.309823754,0.366987229,0.331379354,0.406504421,E14000702,27.59646837,63.30127713
Finchley and Golders Green,0.289278239,0.260182438,0.322512053,0.363875594,0.329064998,0.399092685,E14000703,28.92782385,63.61244063
Folkestone and Hythe,0.277382515,0.251042884,0.311616293,0.301748406,0.259621358,0.335380872,E14000704,27.73825153,69.82515936
Forest of Dean,0.276455742,0.24501931,0.310711012,0.344484726,0.306210249,0.38435318,E14000705,27.64557421,65.55152739
Fylde,0.266305141,0.225622492,0.294084346,0.304429616,0.265926577,0.341780721,E14000706,26.63051412,69.55703844
